Original,Chinese,English
// 主菜单,,
Chinese,中文,中文
BACK,返回,
CLOSE,关闭,
Lock,上锁,
Leash,牵绳,
RLV,RLV限制,
Timer,计时,
Renamer,易名,
Animation,动画,
Access,权限,
Language,语言,
Struggle,挣扎,
Apps,应用,
Settings,设置,
Yes,是,
No,否,
Locked: %1% %2%\nOwner: %3%\nPublic: %b4%\nGroup: %b5%\nHardcore: %b6%,锁定：%1% %2%\n主人：%3%\n公开模式：%b4%\n群组模式：%b5%\n硬核模式：%b6%,
You're locked and not allow to operate it!,您已被锁住，不允许操作！,
"You're locked by %1% and timer is running, not allow to operate it!",您已被 %1% 锁住，且正在倒计时，不允许操作！,
You're locked by %1% and not allow to operate it!,您已被%1%锁住，不允许操作！,
"This %1% is locked by %2%, you don't have permission to operate it!",这个 %1% 已被 %2% 锁住，您没有权限操作它！,
Time: %1%,时长：%1%,
Total locked time: %1%,总上锁时间：%1%,
You're %1% by %2%. %3%,你被 %2% %1%了。%3%,
You %1% %2%'s %3%. %4%,你%1%了 %2% 的%3%。%4%,
%1% days,%1%天,
locked,锁住,
unlocked,解锁,
"Sorry, the menu of %1% is using by %2%.",对不起，%1%的菜单正在被%2%使用。,
"Set menu language, current: %1%.",设置菜单语言，当前语言：%1%。,
,,
// Leash菜单,,
None,无,
T.None,材质：无,
Ribbon,丝带,
T.Ribbon,材质：丝带,
Chain,锁链,
T.Chain,材质：锁链,
Leather,皮革,
T.Leather,材质：皮革,
Rope,绳子,
T.Rope,材质：绳子,
White,白色,
Black,黑色,
Gray,灰色,
Red,红色,
Green,绿色,
Blue,蓝色,
Yellow,黄色,
Pink,粉色,
Brown,棕色,
Purple,紫色,
Barbie,芭比粉,
Orange,橙色,
Toad,蟾绿色,
Khaki,卡其色,
Pool,水蓝色,
Blood,血红色,
Anthracite,炭黑色,
Midnight,午夜蓝,
This is leash menu.\n%1%%2%,这是牵绳菜单。\n%1%%2%,
Grab,抓住牵绳,
Unleash,放开牵绳,
Yank,拉到身边,
Follow,跟随,
Unfollow,停止跟随,
Following: ,正在跟随：,
Leashed to: ,牵引者：,
Anchor,锚点,
Pass,让渡,
Length,长度,
Style,样式,
Config,配置,
Select user to %1%.,选择玩家以%1%。,
Select object to %1%.,S选择物品以系到%1%。,
Current leash length: %1%.,当前长度：%1%。,
Choose a style and color for leash.\nCurrent size: %1%\nCurrent weight: %2%\nCurrent glow: %3%\nCurrent shine: %b4%\nCurrent color: %5%,为牵绳选择样式和颜色。\n当前粗细：%1%\n当前重量：%2%\n当前发光：%3%\n当前光泽：%b4%\n当前颜色：%5%,
Bigger,更粗,
Smaller,更细,
Glow,发光,
Heavier,更重,
Lighter,更轻,
Shine,光泽,
Configs of leash.,牵绳配置。,
Turn,自动转向,
Strict,严格模式,
You can't %1% yourself in Strict mode!,严格模式下，您不能%1%您自己！,
,,
// Access菜单,,
Root,根用户,
AccessList,权限列表,
Escape,逃跑,
OwnerList,主人,
TrustList,信任,
BlackList,黑名单,
Public,公开模式,
Group,群组模式,
Hardcore,硬核模式,
"This is access menu, you can manage who can access %1%'s %2%.\nPublic mode: %b3%\nGroup mode: %b4%\nHardcore mode: %b5%",这是权限菜单，您可以管理谁可以访问%1%的%2%。\n公开模式：%b3%\n群组模式：%b4%\n硬核模式：%b5%,
"Current Root: %1%. Click SetRoot to set new Root owner, click Restore to reset Root owner to wearer.",当前根用户：%1%。点击[设置根用户]设置新的根用户，点击[恢复]将根用户重置为物品所有者。,
SetRoot,设置根用户,
Restore,恢复,
Click AddOwner to add owner.,点击[添加主人]添加一个新主人。,
Click RemoveOwner to remove owner.,点击[移除主人]将主人移除。,
AddOwner,添加主人,
RemoveOwner,移除主人,
Click AddTrust to add trust user.\nClick RemoveTrust to remove trust user.,点击[添加信任]将玩家加入信任列表。\n点击[移除信任]将玩家移出信任列表。,
AddTrust,添加信任,
RemoveTrust,移除信任,
Click AddBlack to add black user.\nClick RemoveBlack to remove black user.,点击[添加黑名单]将玩家加入黑名单。\n点击[移除黑名单]将玩家移出黑名单。,
AddBlack,添加黑名单,
RemoveBlack,移除黑名单,
Your public mode is set to %b1%.,您的公开模式已被设为%b1%。,
Your group mode is set to %b1%.,您的群组模式已被设为%b1%。,
Your hardcore mode is set to %b1%.,您的硬核模式已被设为%b1%。,
"Are you sure to escape? This will clear all of your access data, and restore Root to yourself.",您确定要逃离？这将清除所有权限数据，并恢复根用户为您自己。,
You have escaped successful.,您成功逃跑。,
Select user to %1%.,选择玩家以%1%。,
%1% %2% success!,%1%%2%成功！,
Root:,根用户：,
Owners:,主人：,
TrustList:,信任：,
BlackList:,黑名单：,
Public mode: %b1%,公开模式：%b1%,
Group mode: %b1%,群组模式：%b1%,
Hardcore mode: %b1%,硬核模式：%b1%,
,,
// RLV菜单,,
This is RLV %1% menu.,这是RLV - %1%菜单。,
[ALL],[全部],
Your %1% - %2% restrictions is set to %3%.,您的[%1% - %2%]RLV限制已被设为[%3%]。,
%4%'s %1% - %2% restrictions is set to %3%.,%4%的[%1% - %2%]RLV限制已被设为[%3%]。,
ON,开,
OFF,关,
Vision,视觉,
LightBlind,轻盲视野,
HeavyBlind,重盲视野,
Camera,镜头,
Name,名字,
Near,附近的人,
TextWorld,世界文字,
TextHUD,HUD文字,
TextAll,所有文字,
Touch,触摸,
Far,触摸远处,
World,触摸世界,
Me,触摸自己,
Attach,触摸附件,
SelfAttach,触摸自己,
OtherAttach,触摸别人,
HUD,触摸HUD,
All,触摸所有,
Interact,交互,
Inventory,库存,
Note,记事卡,
Script,脚本,
Texture,纹理,
Edit,编辑,
Rez,放置,
Share,分享,
Move,移动,
Run,跑步,
Fly,飞行,
Sit,坐下,
Jump,跳跃,
Slow,减速,
Move,移动,
Turn,转向,
MoveTurn,移动&转向,
Chat,聊天,
SendChat,发送聊天,
RecvChat,接收聊天,
SendGesture,发送手势,
RecvGesture,接收手势,
StartIM,发起私聊,
SendIM,发送私聊,
RecvIM,接收私聊,
Location,传送,
TPLocal,本地传送,
TPLM,地图传送,
TPLocation,链接传送,
TPLure,邀请传送,
TPRequest,请求传送,
WorldMap,世界地图,
MiniMap,迷你地图,
ShowLocation,显示地点,
Attach,装扮,
Add,穿戴装扮,
Remove,移除装扮,
,,
// Renamer菜单,,
This is Renamer menu.\nCurrent name: %1%,这是易名器菜单。\n当前名字：%1%,
Enabled,启用,
SetName,设置名字,
Confusion,混淆,
Voice,声音,
This is Renamer confusion menu.\nCurrent confusion: %1%.,这是混淆菜单。\n当前混淆：%1%。,
Loose,轻松,
Middle,中等,
Strict,严格,
Muffle,消音,
Whisper,低语,
HiveChannel,Hive频道,
"This is Renamer voice menu.\nCurrent voice: %1%, volume: %2%.",这是声音菜单。\n当前声音：%1%，音量：%2%。,
Multiple random,随机,
Too long,太长,
Volume,音量,
Random,随机,
Input,输入,
Input Renamer name (Current: %1%):\nDisplay Name: %2%\nFull Name: %3%\nUser Name: %4%\nObject Name: %5%,请输入您的名字（当前：%1%）：\n显示名：%2%\n全名：%3%\n用户名：%4%\n物品名：%5%,
"Input voice name or uuid, multiple voices using [,] to separate:","输入声音文件名或UUID，多个声音请使用[,]分隔：",
"Input Muffle text, blank to off (Current: %1%):",输入消音时说的文字，留空为取消（当前：%1%）：,
Input Hive channel (Current: %1%):,请输入Hive频道（当前：%1%）：,
%1%'s name is changed to %2%.,%1%的名字已被改为%2%。,
,,
// Timer菜单,,
RealTime,现实时间,
OnlineTime,在线时间,
Stopped,已停止,
Running,运行中,
ShowText,显示倒计时,
StartTimer,开始计时,
Clear,清除,
Restart,重开,
+5 Minute,+5分钟,
-5 Minute,-5分钟,
+30 Minute,+30分钟,
-30 Minute,-30分钟,
+1 Hour,+1小时,
-1 Hour,-1小时,
Second,秒,
Minute,分,
Hour,小时,
Day,天,
"This is timer menu, you can manage timer.\nTimer mode: %1%\nTimer total: %2%\nTimer current: %3%\nTimer remaining: %4%\nTimer status: %5%",这是计时器菜单，您可以管理计时器。\n计时模式：%1%\n总体时长：%2%\n当前时长：%3%\n剩余时长：%4%\n计时状态：%5%,
,,
// Animation菜单,,
Animation Menu\nCurrent Playing: %1%,动画菜单\n正在播放：%1%,
This is Animation [%1%] menu.\nCurrent Playing: %2%,这是动画[%1%]菜单。\n正在播放：%2%,
[STOP],[停止],
// Struggle菜单,,
Struggling...,正在挣扎……,
Random key,随机按键,
Correct key,正确按键,
Struggle!,开始挣扎！,
Stop!,停止挣扎！,
This is struggle menu.\nStruggle type: %1%,这是挣扎菜单。\n挣扎类型：%1%,
,,
// Apps菜单,,
This is apps menu.,这是应用菜单。,
,,
// Settings菜单,,
This is settings menu.,这是设置菜单。,
